trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-60.1714782561028,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,2,-26.914738975154815,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-81.71096569881229,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-16.74174741244827,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-165.1911000940054,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-156.5773970716646,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-32.916370367003445,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-36.561791901085286,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-27.908539745319942,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-16.068072498244508,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-18.131987582478633,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-44.00574598372152,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,3,9.041489244751226,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,6.879559617492552,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,6,-78.42329318375842,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-48.38690784017895,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-104.68147587954618,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-106.85850908826674,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-16.58338859877903,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,22.613015460181074,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,2,-25.833768380874943,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-9.861639275926482,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-17.350499306234134,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,18,-70.97201099403745,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,0,-15.374338010484895,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-7.991207433484531,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-46.86608686969768,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-22.523151293016877,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,18,-10.823358990793661,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-68.50674664625566,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
