trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",25,0,-98.98475068457729,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.9801}",30,8,-137.43677893939446,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
3,False,"{'a': 0.7, 'e': 0.970299}",25,14,-25.786566796857283,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.96059601}",20,0,-53.74754627105812,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",25,0,-108.0564882369905,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.941480149401}",20,0,-55.62464853750622,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",25,0,-167.6658024529437,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.9227446944279201}",20,0,-55.16842571500843,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836408}",20,0,-42.00030620885919,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088044}",25,0,-52.35297184820559,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587164}",25,0,-80.69500959446083,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161292}",25,0,-258.1780653185412,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 6}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",25,15,-7.504534232148637,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.8687458127689782}",20,0,-47.6275979940553,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.8600583546412884}",20,0,-155.17080947632968,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.8514577710948755}",30,0,-171.44220860938015,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.8429431933839268}",35,0,-176.0844824021209,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.7, 'e': 0.8345137614500875}",25,14,-16.37125036139607,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.8261686238355866}",30,6,-71.7224166135975,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.8179069375972308}",20,16,8.398823963123895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.8097278682212584}",25,0,-60.860932359570484,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.8016305895390459}",20,7,-28.86056011621055,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.7936142836436554}",30,0,-64.76387460920452,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.7856781408072188}",25,0,-209.7693204148625,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
25,False,"{'a': 0.7, 'e': 0.7778213593991467}",25,12,-55.535978114322795,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.7700431458051551}",20,4,21.242609786497685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7623427143471035}",25,12,-12.699240267241809,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.7547192872036325}",25,15,3.0820211219058944,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.7471720943315961}",25,0,-68.44013364200202,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
30,False,"{'a': 0.7, 'e': 0.7397003733882802}",20,0,-61.64615287849033,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.7323033696543975}",20,0,-21.46721707572929,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.7249803359578535}",25,0,-61.96420160966545,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.7177305325982749}",25,0,-30.646052051341,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.7105532272722921}",20,12,-6.125567920139212,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.7034476949995692}",25,0,-143.96462293999969,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.7, 'e': 0.6964132180495735}",25,14,-10.836632147720412,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
