trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.679441578109405,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.56779299722214,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,5,-86.85072098937862,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.30594512643177,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.14323139170068,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,3,-115.41125389078653,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,13,8.79597061604332,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,5,-132.26801130958378,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.09658592596733,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,6,-112.1879004216252,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.55994752200043,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.02204328558346,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,11,-137.9594871921512,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.13227193919192,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.732844202570117,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.66552456234598,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.52683249561758,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-141.8630323053893,"{0: 22, 1: 0, 2: 11, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.01475928838393,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.9193746162415,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.48777278662082,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.12523690326361,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.994759159741584,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.28735664526047,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.83031372619757,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.87444508895754,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.60154953980609,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-200.44647716423324,"{0: 20, 1: 3, 2: 9, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.09953801161166,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.15114879983241,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
